Row Labels,Monday,Tuesday,Wednesday,Thursday,Friday,Label
201028,0,-0.160937492,-0.019242767,0.105063228,-0.003436369,0.074999892
201029,-0.020115,0.063929623,0.093715606,0.002520111,0.037707393,0.248680484
201030,0.061531059,-0.073482474,-0.003940887,0.038575719,0.013809571,-0.089913236
201031,-0.015969938,-0.019093173,0.008272506,-0.017857095,-0.020147371,-0.064916512
201032,0.04914739,0.049235229,-0.031435124,-0.038099671,-0.042053837,-0.124282983
201033,0.000510465,-0.029081582,-0.059379976,-0.016759777,0.040909091,-0.025510204
201034,0.025109225,0.019701756,-0.019843342,0.001065583,0.016498083,0.048988283
201035,0.053926649,-0.046199605,0.036458279,-0.007537688,-0.002531595,0.045702933
201036,0.008629441,-0.019627629,0.049794713,0.029828752,-0.000474834,0.015098087
201037,0,-0.024227935,0.017526727,-0.009090957,-0.026074313,-0.038954824
201038,0.027268171,0.019305117,0.040719648,-0.047315696,-0.033906445,-0.029922733
201039,0.041028127,-0.013770134,-0.04333168,-0.015601509,0.027607414,-0.021842309
201040,0.021393085,0.042376958,0.027102804,-0.071428571,0.009309162,-0.004870969
201041,0.018932039,0.006193473,-0.031250093,-0.001466227,0,-0.021438733
201042,-0.009300049,0,0.014822184,0.010223904,-0.010120434,0.023715366
201043,-0.01509255,-0.008897726,0.029925238,0.004842615,-0.001445831,0.079584775
201044,0.00627418,0.02446048,-0.016853979,0.009047667,0.030674798,0.172182302
201045,-0.019688645,-0.007473143,0.024470588,0.143775838,-0.018473855,0.393741242
201046,0.022094885,-0.014011249,0.192042314,-0.044959127,0.064193971,0.240592474
201047,0.032171548,-0.03668828,-0.006066734,0.013563886,0.036801641,0.146753284
201048,0.077767086,0.035029878,0.026034163,0,-0.004228954,-0.057185685
201049,-0.028029388,0.02912904,-0.027738578,-0.058224166,-0.026584175,-0.081852661
201050,-0.037472245,0.041240516,0.0256654,-0.009885697,-0.016536631,0.034642099
201051,-0.030774143,-0.06612105,0.037504345,0.040878345,0.017851412,-0.015057251
201052,0.010841836,0.01766552,0.011469406,-0.077842505,0,-0.159936967
201053,-0.150880724,0.033659532,0.049981068,-0.044356293,0.004905623,0.105283801
